,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
100287102,0.1169,0.2557,0.8709,2.063,0.322,1.287,2.268,1.125,0.955,0.306,0.6888,0.4061,2.911,0.5847,1.537,0.8872,1.25,1.504
653635,9.828,11.27,13.39,13.83,14.73,7.41,8.745,13.3,18.57,9.829,5.682,8.5,14.07,5.166,7.816,13.94,18.43,11.59
102466751,8.522,2.485,12.45,7.371,5.215,0,2.362,9.106,25.31,7.433,1.859,3.288,3.723,1.093,3.32,1.268,23.97,5.221
107985730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100302278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04994,0.1526,0,0
79501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100996442,3.848,2.313,0.83,3.871,2.663,0.5429,0.9407,2.499,7.824,2.541,1.279,3.712,2.345,1.549,1.026,4.862,4.907,3.083
729737,170.9,83.75,34.63,99.95,130.3,13.25,30.16,57.81,171,77.31,38.1,106.3,67.93,43.98,56.59,174.1,131.1,80.93
102725121,0.1803,0.2103,1.053,2.121,0.4965,1.764,2.798,1.06,1.249,0.3145,0.5507,0.3479,3.518,0.5086,1.756,0.8047,1.285,2.264
102723897,10.15,11.32,12.73,14,13.69,9.723,8.876,15.47,19.87,9.644,5.636,10.16,11.84,6.666,6.89,13.9,18.26,11.09
102465909,2.841,3.728,3.734,4.422,5.215,0.8683,0.7872,4.553,12.65,5.947,1.859,4.11,6.204,2.185,2.49,1.268,6.392,5.221
107985721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04016,0
112268260,0.3516,0.1025,0.1155,0.1672,0.2152,0.01791,0.06495,0.09392,0.1523,0.1687,0.07671,0.1781,0.1024,0.06762,0.05136,0.17,0.09889,0.1212
729759,0,0,0,0,0,0,0,0,0,0,0.06732,0,0,0,0,0,0,0
100132287,67.46,34.84,14.87,56.25,52.51,5.688,14.7,35.74,99.37,33.47,20.83,58.09,33.52,25.49,30.84,91.79,75.14,39.91
105378947,0.1237,0.03606,0,0.1283,0.1135,0,0.02285,0.1321,0.1224,0.08629,0,0.02386,0.07203,0,0.02409,0.1104,0.09275,0.03788
101928626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113219467,1426,2243,1921,1694,1928,3235,1700,1371,2070,1324,1645,1239,1547,886.4,1307,876.7,1945,1503
81399,0.1003,0.02924,0.01464,0.03469,0.04602,0,0.009261,0,0.04963,0.03498,0.01094,0.07737,0.05839,0.01285,0.009764,0.07458,0.0376,0.03071
100133331,64.24,33.58,14.22,51.8,48.14,5.61,14.57,32.68,91.16,30.38,19.16,52.51,31.97,22.99,28.08,80.2,69.6,35.93
107984841,17.84,10.13,3.107,15.7,9.67,2.232,5.087,12.04,37.33,9.061,5.393,14.07,10.11,6.419,7.679,20.95,24.64,12.46
107984847,51.58,32.58,7.678,39.06,40.77,6.696,20.86,30,85.75,25.85,11.6,37.11,28.36,13.79,21.18,42.48,61.16,30.56
107984849,34.49,17.2,3.929,24.34,23.75,2.109,12.24,17.14,59.42,18.41,10.16,26.55,18.99,9.287,13.1,31.41,42.3,24.09
100288069,9.933,5.485,2.222,9.871,6.079,0.4737,1.679,7.565,25.84,6.046,2.997,11.01,6.278,4.119,3.211,12.89,14.66,7.121
