,GSM5824838,GSM5824839,GSM5824847,GSM5824852,GSM5824855,GSM5824858,GSM5824868,GSM5824878,GSM5824885,GSM5824894,GSM5824904,GSM5824932,GSM5824943,GSM5824955,GSM5824967,GSM5824970,GSM5824979,GSM5824984
A1BG,0.9139,1.024,0.9509,1.245,1.389,0.646,0.6648,1.099,1.442,0.8967,0.2804,0.7107,1.397,0.4174,0.534,0.8412,0.8996,1.024
A1BG-AS1,1.179,1.349,1.669,2.212,1.665,1.275,0.8042,1.454,1.751,1.519,0.6826,1.076,1.822,0.8721,0.7683,0.5262,1.632,1.417
A1CF,0,0,0,0,0,0,0,0,0,0.01061,0,0,0,0,0,0,0,0
A2M,0.9452,1.576,0.3906,0.9069,0.4092,0.3707,0.3163,0.8861,1.562,0.8959,0.2685,0.2684,0.4518,0.4116,0.3751,0.3502,1.725,0.3441
A2M-AS1,0.4619,1.249,0.6991,1.307,0.4626,0.1027,0.1396,0.6731,0.9977,0.6153,0.3023,0.2673,0.3302,0.1292,0.5398,0.3373,1.512,0.1158
A2ML1,0,0.01267,0.02538,0.03006,0.02658,0,0,0,0.1075,0,0,0,0,0,0,0,0.01629,0.01331
A2MP1,0.2413,1.548,0.2114,0.5843,0,0.2458,0,0,1.075,0.5892,0.05264,0.09309,0.1405,0.06186,0.4699,0,1.267,0.0739
A3GALT2,0.6609,0.08259,0.08272,0.09799,0.1733,0,0,0.6053,0.4206,0.5929,0.06179,0.2186,0.3299,0.1453,0,0.3371,0.5311,0.5206
A4GALT,0,0,0,0.02528,0.08942,0.01489,0.0135,0,0,0,0,0,0,0,0,0,0.0274,0.02238
A4GNT,0,0,0,0.1517,0,0,0,0,0,0,0,0,0.03193,0,0,0,0,0.06716
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,8.146,14.7,14.54,15.06,16.17,15.75,14.79,15.1,20.49,8.899,6.432,8.31,17.39,6.345,7.675,15.04,18.39,16.14
AACS,1.267,3.451,2.422,3.796,4.547,2.201,1.612,3.323,4.875,1.748,1.753,1.517,3.749,1.152,1.447,3.059,3.791,2.937
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0.08583,0,0,0,0.0505,0,0,0,0,0
AADACL2,0,0,0,0,0.03317,0,0,0,0,0,0,0,0,0,0.01056,0,0,0
AADACL2-AS1,0,0,0.1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03629,0
AAGAB,5.373,5.802,6.33,6.35,6.678,3.866,2.693,8.076,11.83,5.247,2.776,3.779,6.513,2.294,1.772,5.094,6.826,6.851
AAK1,2.1,3.946,2.86,3.269,2.866,1.822,3.274,4.039,10.55,2.341,1.605,2.098,4.579,1.577,1.08,2.001,4.155,3.537
AAMDC,0.8277,0.8598,0.6346,1.074,0.9023,0.6641,0.6021,0.4975,1.229,0.4332,0.474,0.6288,0.6327,0.1194,0.3627,0.4156,0.582,0.8082
AAMP,14.26,20.02,22.41,22.8,18.97,9.1,9.718,29.26,34.33,15.33,11.54,13.69,25.97,10.49,11.74,19.56,29.32,27.22
AANAT,0.5505,0.2325,0.4325,0.729,0.4182,0.3133,0.6418,0.3955,2.903,0.6954,0.2858,1.362,1.161,0.3213,0.3549,1.44,1.452,1.919
AAR2,6.093,8.286,9.62,9.924,9.885,7.118,4.714,11.17,15.18,6.093,3.83,4.993,10.8,4.664,4.547,6.058,10.35,9.009
AARD,0,0,0,0,0,0.4639,0,0,0,0,0,0,0,0,0,0,0,0
AARS1,3.31,8.638,10.45,10.57,6.18,5.488,8.753,11.92,18.74,7.663,3.746,5.569,12.2,5.395,4.934,6.435,11.68,16.11
AARS2,2.043,2.616,3.116,2.707,2.796,0.9254,1.9,3.069,4.577,2.119,0.9669,1.604,3.33,1.192,1.204,1.498,3.611,3.184
AARSD1,1.39,2.432,2.885,3.189,2.754,1.342,1.663,2.932,4.563,1.532,0.9099,1.228,3.58,1.745,1.283,3.331,3.457,3.228
AASDH,0.8865,1.284,1.604,1.252,1.241,1.119,0.7732,1.817,3.021,1.08,0.7419,1.068,1.727,0.7043,0.2972,0.5448,2.027,1.162
AASDHPPT,3.628,3.756,5.229,4.59,4.06,2.507,2.487,5.024,8.958,4.921,1.869,2.41,5.008,1.503,1.041,2.204,4.42,4.676
