GSM5824838	GSM5824839	GSM5824847	GSM5824852	GSM5824855	GSM5824858	GSM5824868	GSM5824878	GSM5824885	GSM5824894	GSM5824904	GSM5824932	GSM5824943	GSM5824955	GSM5824967	GSM5824970	GSM5824979	GSM5824984
0.3931	0.8253	2.204	0.4488	1.516	1.85	0.2397	1.827	2.452	1.07	0.7976	0.8418	1.065	0.6048	0.2297	0.2456	2.565	0.3251
1.184	2.325	2.651	1.556	2.246	1.351	0.4958	2.109	2.383	1.652	0.7233	0.8375	1.126	0.9917	0.8301	1.456	1.776	1.112
6.067	8.062	6.455	8.096	8.805	2.702	3.395	8.15	9.224	4.657	2.912	4.582	6.588	3.378	4.018	6.499	9.069	6.797
53.78	51.33	46.6	53.32	61.73	43.09	28.27	65.35	84.33	51.88	32.79	43.19	58.62	30.44	30.11	61.57	82.17	55.16
1.188	2.232	1.684	1.632	2.406	1.453	1.026	3.753	5.085	1.024	0.892	1.153	2.198	0.8333	1.817	2.183	3.735	1.349
9.32	14.33	13.69	18.31	16.91	6.888	7.693	14.55	30.27	12.77	6.795	8.354	16.36	6.216	8.226	20.67	19.77	12.98
2.026	2.798	2.055	1.77	2.838	1.369	1.359	4.784	4.116	1.339	0.7675	1.542	3.073	0.7381	2.118	3.33	3.478	0.9797
10.67	14.61	10.68	19.69	13.95	5.219	9.375	15.91	25.94	8.34	5.051	6.343	16.78	5.549	7.061	14.72	19.79	11.66
88.21	94.82	103.3	139.1	104.3	70.7	69.02	130.2	234.2	117.7	55.22	77.26	114.4	56.93	55.69	115.2	132.9	117.5
5.239	9.296	7.498	13.35	9.25	4.126	6.727	11.48	21.13	7.933	6.212	5.438	9.963	5.75	5.235	10.87	11.01	6.748
29.12	31.45	25.43	32.64	34.32	15.21	13.68	39.72	53.99	27.08	14.76	23.21	32.83	14.7	13.87	29.5	45.65	29.96
52.67	41.57	33.13	44.19	53.71	15.9	17.14	42.15	74.45	33.65	20.01	37.48	43.38	20.74	22.15	53.66	64.39	40.11
0.2254	0.273	0.3038	0.2519	0.3342	0.1696	0.09609	0.1389	0.1545	0.07258	0.05674	0.1706	0.2272	0.08002	0.1013	0.04643	0.2731	0.239
1.761	2.787	1.572	2.402	2.694	1.056	1.31	2.634	4.233	1.615	1.065	1.436	2.637	0.7997	0.7642	1.886	2.528	1.556
36.69	51.7	51.91	56.97	50.57	35.63	25.13	63.45	90.12	49.89	21.9	28.29	54.56	24.06	32.72	47.45	63.27	49
0.01961	0.09436	0.008592	0	0.018	0.01798	0.005435	0.01572	0.02912	0.01026	0.04492	0.03973	0.01713	0.0528	0.005729	0	0.02206	0
3.802	6.112	7.884	6.57	5.866	5.184	3.343	7.849	12.36	5.605	2.554	3.134	8.121	3.583	2.722	4.78	8.421	6.512
1.617	3.047	4.106	1.98	2.703	2.611	1.057	3.656	4.865	2.214	1.873	1.608	3.152	1.404	1.357	4.183	3.359	4.306
11.25	12.03	10.22	15.85	20.33	5.62	5.38	13.03	21.43	9.453	8.12	9.952	12.97	6.997	7.587	16.24	16.74	11.08
24.23	22.24	15.42	36.15	28.38	9.683	9.798	28.21	49.74	22.68	14.02	19.1	28.57	15.69	13.8	31.86	34.06	23.38
0.2543	0.3771	0.4721	0.3624	0.3403	0.2846	0.227	0.5389	0.5505	0.2662	0.1241	0.1971	0.3239	0.1525	0.1285	0.3347	0.4268	0.3407
47.61	27.65	25.22	38.06	32.18	14.12	11.25	38.36	68.14	38.19	14.54	30.21	36.85	17.73	13.19	22.45	41.18	47.67
0.3408	0.7255	0.7067	0.7546	0.5944	0.5209	0.4911	0.8194	2.041	0.3448	0.1413	0.1381	1.211	0.2097	0.2257	0.4259	0.7029	0.8874
0.1702	0.7943	0.2486	3.18	0.3646	0	3.302	3.547	6.994	0	0.1114	0.06569	3.421	0.3056	1.293	1.418	3.894	3.807
2.713	1.992	0.6406	2.159	2.116	0.1461	0.7013	1.622	2.902	0.927	1.031	1.147	0.7001	0.7679	0.4436	1.832	2.199	0.801
28.6	28.23	37.09	29.39	38.46	23.94	13.46	35.36	42.36	30.69	17.26	20.01	33.59	13.38	13.35	29.19	46.25	37.31
86.99	122.1	168.8	159.6	124.7	97.45	74.77	152.1	226.7	149.2	63.22	86.3	153.4	59.04	92.37	143.9	164.6	179.7
0.3443	0.459	0.4453	1.293	0.5117	0.1303	0.4271	0.9986	0.9251	1.081	0.3863	0.892	0.5729	0.391	0.2108	0.5707	1.125	0.7232
5.961	7.147	6.436	7.638	5.92	3.467	4.291	7.42	17.99	6.785	3.28	5.362	7.535	3.546	3.067	4.515	8.858	8.284
6.734	18.47	20.55	17.9	16.38	12.67	13.87	20.19	46.28	13.34	8.435	8.205	21.92	8.28	9.397	11.97	20.48	16.78
